product_id,review_text
1,"The sound quality is amazing and bass is deep, but the battery drains fast after a few months of use."
1,"Noise cancellation works great on flights. Comfortable fit even for long hours."
1,"Battery life is disappointing, barely lasts 2 hours now. Sound is still crisp though."
1,"Connectivity keeps dropping randomly, very frustrating during calls."
2,"Super lightweight and comfortable for daily runs. Sole cushioning is excellent."
2,"Shoes look great but sizing runs small, had to exchange for a larger size."
2,"After a month of running the sole started wearing out quickly."
2,"Very breathable, my feet don't sweat even in summer. Great purchase."
5,"Heart rate monitor is accurate and syncs well with my phone app."
5,"Battery only lasts 2 days, expected more given the price."
5,"Sleep tracking feature is surprisingly detailed and helpful."
5,"Screen is hard to read in direct sunlight."
6,"Laptop compartment fits my 15 inch laptop perfectly, very sturdy build."
6,"Leather quality feels premium but zippers feel a bit flimsy."
6,"Great for daily office commute, lots of storage pockets."
15,"Cookware heats evenly and cleanup is effortless thanks to the non-stick coating."
15,"After 3 months the coating started peeling off near the edges."
15,"Handles stay cool even on high heat, very safe to use."
