id,title,description,category,price,brand
1,Wireless Bluetooth Earbuds,Compact true wireless earbuds with noise cancellation and 24hr battery life,Electronics,1999,SoundPro
2,Running Shoes for Men,Lightweight breathable running shoes with cushioned sole for daily runs,Footwear,2499,SprintX
3,Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours and hot for 12 hours,Home,699,HydroFlow
4,Cotton Casual T-Shirt,Soft breathable cotton t-shirt for everyday wear available in multiple colors,Clothing,499,UrbanWear
5,Smart Fitness Band,Fitness tracker with heart rate monitor step counter and sleep tracking,Electronics,1499,FitTrack
6,Leather Office Backpack,Durable leather backpack with laptop compartment for daily office use,Bags,2999,CarryPro
7,Non-Stick Frying Pan,Scratch resistant non-stick frying pan suitable for induction cooktops,Home,899,ChefKing
8,Wireless Mouse,Ergonomic wireless mouse with silent clicks and long battery life,Electronics,799,ClickTech
9,Yoga Mat Non-Slip,Extra thick non-slip yoga mat with carrying strap for home workouts,Sports,999,FlexFit
10,Ceramic Coffee Mug Set,Set of 4 ceramic coffee mugs microwave and dishwasher safe,Home,599,BrewHouse
11,Denim Jacket for Women,Classic denim jacket with button closure and side pockets,Clothing,1799,UrbanWear
12,Bluetooth Portable Speaker,Waterproof portable speaker with deep bass and 12 hour playtime,Electronics,1599,SoundPro
13,Kids School Backpack,Colorful lightweight school backpack with multiple compartments for kids,Bags,999,CarryPro
14,Adjustable Dumbbell Set,Space saving adjustable dumbbells for home strength training,Sports,3499,FlexFit
15,Ceramic Non-Stick Cookware Set,5 piece ceramic cookware set with heat resistant handles,Home,3999,ChefKing
